EXECUTION_IDENTIFIER;FAULT_LOCALIZATION;FL_METRIC;OUTPUT_STATUS;NR_FAILLING_COMPILATIONS;NR_GENERATIONS;TOTAL_TIME;0/VARIANT_ID;0/VALIDATION;0/patchhunks/0/LINE;0/patchhunks/0/SUSPICIOUNESS;0/patchhunks/0/MP_RANKING;NR_RIGHT_COMPILATIONS
Math 71;flacoco;op2;STOP_BY_PATCH_FOUND;53;150;530.258;300;|true|0|2171|[]|;65;1,914;225;97
Math 71;flacoco;tarantula;STOP_BY_PATCH_FOUND;242;570;2441.085;1140;|true|0|2171|[]|;235;0,96;125;328
Math 73;flacoco;barinel;STOP_BY_PATCH_FOUND;15;50;26.993;100;|true|0|2142|[]|;138;1;0;35
Math 73;flacoco;dstar;ERROR;198;558;116.921;;;;;;359
Math 73;flacoco;jaccard;STOP_BY_PATCH_FOUND;15;50;26.79;100;|true|0|2142|[]|;138;1;0;35
Math 73;flacoco;ochiai;STOP_BY_PATCH_FOUND;41;132;45.554;264;|true|0|2142|[]|;138;1;0;91
Math 73;flacoco;op2;STOP_BY_PATCH_FOUND;381;1257;281.462;2514;|true|0|2142|[]|;138;1;0;876
Math 73;flacoco;tarantula;STOP_BY_PATCH_FOUND;369;1168;261.844;2336;|true|0|2142|[]|;138;1;0;799
Math 74;flacoco;barinel;TIME_OUT;221;628;3605.461;;;;;;407
Math 74;flacoco;dstar;TIME_OUT;465;1212;3602.342;;;;;;747
Math 74;flacoco;jaccard;TIME_OUT;221;632;3603.111;;;;;;411
Math 74;flacoco;ochiai;TIME_OUT;212;616;3606.498;;;;;;404
Math 74;flacoco;op2;TIME_OUT;295;776;3607.116;;;;;;481
Math 74;flacoco;tarantula;TIME_OUT;282;784;3603.131;;;;;;502
Math 78;flacoco;barinel;TIME_OUT;840;2332;3600.099;;;;;;1492
Math 78;flacoco;dstar;TIME_OUT;2807;10538;3600.296;;;;;;7731
Math 78;flacoco;jaccard;TIME_OUT;857;2403;3622.597;;;;;;1546
Math 78;flacoco;ochiai;TIME_OUT;1236;3284;4123.605;;;;;;2048
Math 78;flacoco;op2;TIME_OUT;1287;3380;3893.039;;;;;;2093
Math 78;flacoco;tarantula;TIME_OUT;736;1993;3613.074;;;;;;1257
Math 80;flacoco;barinel;STOP_BY_PATCH_FOUND;1;11;41.796;22;|true|0|2104|[]|;1139;1;17;10
Math 80;flacoco;dstar;STOP_BY_PATCH_FOUND;70;200;134.562;400;|true|0|2104|[]|;1136;0,167;103;130
Math 80;flacoco;jaccard;STOP_BY_PATCH_FOUND;1;11;44.098;22;|true|0|2104|[]|;1139;1;17;10
Math 80;flacoco;ochiai;STOP_BY_PATCH_FOUND;3;23;48.446;46;|true|0|2104|[]|;1139;1;17;20
Math 80;flacoco;op2;STOP_BY_PATCH_FOUND;17;34;49.973;68;|true|0|2104|[]|;1139;1;17;17
Math 80;flacoco;tarantula;STOP_BY_PATCH_FOUND;30;77;82.046;154;|true|0|2104|[]|;840;0,992;107;47
Math 81;flacoco;barinel;STOP_BY_PATCH_FOUND;1;8;50.16;16;|true|0|2103|[]|;1544;0,333;1;7
Math 81;flacoco;dstar;STOP_BY_PATCH_FOUND;153;372;201.627;744;|true|0|2103|[]|;1544;0,125;100;219
Math 81;flacoco;jaccard;STOP_BY_PATCH_FOUND;1;8;50.04;16;|true|0|2103|[]|;1544;0,333;1;7
Math 81;flacoco;ochiai;STOP_BY_PATCH_FOUND;29;86;153.893;172;|true|0|2103|[]|;1484;0,5;8;57
Math 81;flacoco;op2;STOP_BY_PATCH_FOUND;1;6;48.724;12;|true|0|2103|[]|;1480;0,999;6;5
